Animal,Drug,DateIndex,StimIntensity,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30
ZZ15,Psilocybin stim/resp hour 24,22217-001,500,5.89380179008003e-05,4.00610115320887e-05,6.36159966234118e-05,3.86153878935147e-05,4.09250096709002e-05,6.38231140328571e-05,3.71287896996364e-05,5.46136179764289e-05,5.68370960536413e-05,5.25206123711541e-05,7.4841474997811e-05,5.02612747368403e-05,7.11410903022625e-05,7.24247802281752e-05,8.87723799678497e-05,5.99585073359776e-05,5.90220661251806e-05,5.54702419321984e-05,6.99644733686e-05,6.10347269685008e-05,5.91156058362685e-05,8.12850921647623e-05,4.99315974593628e-05,2.27338714466896e-05,4.75015403935686e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,600,5.64947695238516e-05,2.2461186745204e-05,5.02317379869055e-05,4.73835571028758e-05,1.63071636052337e-05,4.2488616600167e-05,4.22287521359976e-05,4.28311141149607e-05,3.52933639078401e-05,4.99537600262556e-05,4.83363583043683e-05,6.23008236289024e-05,7.53831991460174e-05,3.84022860089317e-05,5.75335398025345e-05,0.000102018799225334,5.1954291848233e-05,7.74916843511164e-05,7.19994641258381e-05,4.8923073336482e-05,7.47247395338491e-05,6.11551658948883e-05,7.44894932722673e-05,5.58122192160226e-05,6.49965659249574e-05,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,1,-2.73740533884848e-06,1.93125015357509e-06,6.40843973087613e-06,7.35296453058254e-07,5.25010727869812e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,50,3.97344911107211e-06,3.38461177307181e-07,-2.31947115025832e-06,5.64676884096116e-06,-7.50065737520345e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,100,1.29149875647272e-05,6.24105541646713e-06,-1.09563079604413e-05,-4.89230751554715e-06,-4.37925154983532e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,150,6.73881186230574e-06,3.04193258671148e-06,-5.52613187210227e-07,-3.06816218653694e-07,8.41213113744743e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,200,2.49036907007394e-06,2.70962482318282e-06,4.49160506832413e-06,-1.38514110403776e-06,1.42470253194915e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,300,-5.37371397513198e-06,3.41766985911818e-06,4.76149170935969e-06,3.65468031304772e-06,5.45318607692025e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,400,-2.38804409491422e-06,-3.60580224878504e-06,-3.78690174329677e-06,9.96747417048027e-07,2.28799990509287e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,500,-2.55068334809039e-06,2.95507288683439e-06,-9.26382290344918e-06,1.46127490552317e-06,5.80132018512813e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp Baseline,22705-003,600,-2.72580291493796e-06,1.20369600153936e-06,4.53186976301367e-06,-8.64879950768227e-07,-4.38540700997692e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp hour 24,22706-002,1,5.83735527470708e-07,-1.48694448398601e-06,3.37407129791245e-07,-1.23429117593332e-07,1.80483584699687e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp hour 24,22706-002,50,2.53239568337449e-06,-2.22153903450817e-06,-1.04615355667192e-06,7.2789439400367e-06,3.78866070605e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp hour 24,22706-002,100,1.43929560181277e-06,-4.15736167269642e-06,-5.37547248313786e-06,5.31516434421064e-06,2.54927499554469e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZZ19,Psilocybin stim/resp hour 24,22706-002,150,-6.23560526946676e-06,7.208795977931e-07,5.72008821109193e-06,8.95296670933021e-06,-2.23244160224567e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
